Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,GHG Emission Source Data Collection Sheet_Scope 3,,,,,,,,,,,,,,,,,,,
,Activity ,Raw materials Procurred                                                                     (Upstream),,,,Finished Goods Dispatched                                                                   (Downstream),,,,Business Travel,,,Transportation of Employees,,,Outsource Services,,,,Hazardous waste generated,Hazardous waste disposed,Non-Hazardous waste generated,Non- Hazardous waste disposed
,Mode of Measurment & Unit,Distance Measures in km,"Type of Fuel (Diesel, petrol, CNG)",Weight of Material (kg),"Vehicle type (Truck, Light weighted vehicles)",Distance Measures in km,"Type of Fuel (Diesel, petrol, CNG)",Weight of Material (kg),"Vehicle type (Truck, Light weighted vehicles)",Distance Measures in km,"Type of Fuel (Diesel, Petrol, CNG)","Vehicle type (Air, Car, Bus, Train)",Distance Measures in km,"Type of Fuel (Diesel, Petrol, CNG)","Vehicle type (Car, Bus, Train)",Distance Measures in km,"Type of Fuel (Diesel, petrol, CNG)",Weight of Material (kg),"Vehicle type (Truck, Light weighted vehicles)",Kg,Kg,Kg,Kg
,Source of Data,,,,,,,,,,,,,,,,,,,,,,
,Month/Year,Please fill data in yellow highligted cells only. This sheet is formulated sheet.,,,,,,,,,,,,,,,,,,,,,
,2023-04-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,
,2023-05-01 00:00:00,, ,,,,,,,,,,,,,,,,,,,,
,2023-06-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,
,2023-07-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,
,2023-08-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,
,2023-09-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,
,2023-10-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,
,2023-11-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,
,2023-12-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,
,2024-01-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,
,2024-02-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,
,2024-03-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,
,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
